"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"166","MTS_10264","10264","10264","Roswell St & Kelton Rd","32.71581815","-117.07535066","MTS","0.0","N-E/B","","","32.715813380304986","-117.07533877430834"
"167","MTS_10266","10266","10266","Streamview Dr & Lynn St","32.7434085","-117.07129631","MTS","2.0","F-E/B","","","32.74340372778821","-117.07128442632467"
"168","MTS_10267","10267","10267","Market St & Merlin Dr","32.70999972","-117.07162581","MTS","0.0","N-E/B","","","32.7099949513175","-117.07161392075095"
"169","MTS_10268","10268","10268","Skyline Dr & Radio Dr","32.70141969","-117.07109724","MTS","1.0","N-E/B","","","32.70141492769508","-117.07108536040754"
"170","MTS_10271","10271","10271","Rancho Bernardo Rd & Acena Dr","33.02266727","-117.07053434","MTS","1.0","N-E/B","","","33.02266246855731","-117.07052243394371"
"171","MTS_10272","10272","10272","Del Sol Bl & Ocean Bluffs","32.57376204","-117.0630382","MTS","1.0","M-Street-E/B","","","32.573757286432574","-117.06302633148474"
"172","MTS_10273","10273","10273","Imperial Av & 62nd St","32.70967287","-117.06413249","MTS","1.0","M-Street-E/B","imp62","","32.70966810236496","-117.06412060982431"
"173","MTS_10274","10274","10274","Montezuma Rd & 63rd St","32.77041066","-117.06472964","MTS","1.0","N-E/B","","","32.77040588338707","-117.064717749646"
"174","MTS_10276","10276","10276","Imperial Av & 63rd St","32.7098784","-117.06255766","MTS","1.0","N-E/B","","","32.70987363205383","-117.06254577791974"
"175","MTS_10277","10277","10277","Rancho Bernardo Rd & Bernardo Oaks Dr","33.01928995","-117.06545905","MTS","1.0","N-E/B","","","33.01928515175972","-117.06544714909927"
"176","MTS_10278","10278","10278","Streamview Dr & Hasty Dr","32.74399002","-117.06129489","MTS","1.0","N-E/B","","","32.74398524542467","-117.06128300157667"
"177","MTS_10279","10279","10279","Rancho Bernardo Rd & Meandro Dr","33.01854372","-117.06316517","MTS","1.0","N-E/B","","","33.01853891719755","-117.06315326927815"
"178","MTS_10280","10280","10280","Skyline Dr & Detroit Pl","32.70122966","-117.05909725","MTS","1.0","N-E/B","","","32.7012248936898","-117.05908536359749"
"179","MTS_10284","10284","10284","Montezuma Rd & Reservoir Dr","32.76907119","-117.05734556","MTS","1.0","M-Street-E/B","","","32.7690664202501","-117.05733367060826"
"180","MTS_10286","10286","10286","Imperial Av & Woodman St","32.71071811","-117.05563748","MTS","1.0","M-Street-E/B","","","32.71071334552104","-117.05562559579525"
"181","MTS_10287","10287","10287","Skyline Dr & Woodman St","32.70117147","-117.05539095","MTS","1.0","N-E/B","woosky","","32.70116670171568","-117.05537906945605"
"182","MTS_10288","10288","10288","University Av & Aragon Dr","32.7552306","-117.05385222","MTS","1.0","F-E/B","","","32.75522582484515","-117.05384033577053"
"183","MTS_10290","10290","10290","El Cajon Bl & Montezuma Rd","32.76813892","-117.05448076","MTS","1.0","M-Street-E/B","","","32.768134149549894","-117.05446887019735"
"184","MTS_10291","10291","10291","Imperial Av & 68th St","32.71125466","-117.05132825","MTS","1.0","N-E/B","","","32.711249891339754","-117.05131637251897"
"185","MTS_10292","10292","10292","Imperial Av & 69th St","32.71180223","-117.04953865","MTS","1.0","N-E/B","","","32.71179746175588","-117.04952676644598"
"186","MTS_10293","10293","10293","Skyline Dr & 69th St","32.70251753","-117.04958447","MTS","1.0","N-E/B","","","32.70251276876736","-117.0495725863344"
"187","MTS_10294","10294","10294","University Av & 69th St","32.75506844","-117.04962229","MTS","1.0","N-E/B","uni69t","","32.75506366301084","-117.04961040514522"
"188","MTS_10296","10296","10296","Skyline Dr & Buccaneer Dr","32.7027509","-117.0449478","MTS","1.0","N-E/B","","","32.70274613298573","-117.04493592084322"
"189","MTS_10299","10299","10299","Skyline Dr & Sychar Rd","32.70316505","-117.04294908","MTS","1.0","N-E/B","","","32.70316028042743","-117.04293720177948"
"190","MTS_10303","10303","10303","El Cajon Bl & 73rd St","32.76872907","-117.04056588","MTS","1.0","N-E/B","elc73","","32.768724299607676","-117.0405539987614"
"191","MTS_10306","10306","10306","El Cajon Bl & Jessie Av","32.76863289","-117.03798527","MTS","1.0","N-E/B","","","32.76862811665416","-117.03797338559038"
"192","MTS_10307","10307","10307","Skyline Dr & Siena St","32.70287961","-117.03730975","MTS","1.0","N-E/B","","","32.702874840677424","-117.03729787564642"
"193","MTS_10308","10308","10308","University Av & Lowell St","32.75740049","-117.03744894","MTS","1.0","N-E/B","","","32.757395713256905","-117.0374370541214"
